date,Equity Equal Weight,Equity Min Variance,Equity Max Sharpe,Equity Risk Parity,Equity Hierarchical Risk Parity,Crypto Equal Weight,Crypto Min Variance,Crypto Max Sharpe,Crypto Risk Parity,Crypto Hierarchical Risk Parity,Combined Equal Weight,Combined Min Variance,Combined Max Sharpe,Combined Risk Parity,Combined Hierarchical Risk Parity
2020-09-10,,,,,,0.01898213692711367,0.013380962106665955,0.02092640889422167,0.018494979624002532,0.014963055711156489,,,,,
2020-09-11,,,,,,0.0068067435248405864,0.0020396419799776407,0.009677882991049679,0.007057637063106312,0.006113945847546374,,,,,
2020-09-12,,,,,,0.011090582583458797,0.009044786052721288,0.005883112014173818,0.01070352830879848,0.009778612085792341,,,,,
2020-09-13,,,,,,-0.039131846641066184,-0.015829197674963526,-0.0497955172343266,-0.03832776007749998,-0.037107022038823274,,,,,
2020-09-14,,,,,,0.017654624231320484,0.029075854800643754,0.016149207589032134,0.017847982236907107,0.018504576466690358,,,,,
2020-09-15,,,,,,-0.015605700937015576,0.0036023206531312145,-0.04983200208436463,-0.015571796055371453,-0.012657819624263284,,,,,
2020-09-16,,,,,,-0.0041022401119938726,0.016450412724397456,-0.022255458236550323,-0.0027530745981385694,-0.003508156380581411,,,,,
2020-09-17,,,,,,0.021438464804721127,0.004550950308622308,0.05056397295365953,0.02062780590107443,0.018386375102630685,,,,,
2020-09-18,,,,,,-0.005838497929824605,-0.0023105481881968196,-0.0038434208350735274,-0.005596812169944349,-0.0027199775990488233,,,,,
2020-09-19,,,,,,-7.131241537610078e-05,0.010328552984933374,-0.011494748970287301,0.0002430612683614845,-2.010873802857859e-05,,,,,
2020-09-20,,,,,,-0.02487133959672372,-0.016043819899010943,-0.030403766971969483,-0.02434775791340057,-0.023757375622698713,,,,,
2020-09-21,,,,,,-0.06832505032234804,-0.04896198240414898,-0.084318589741059,-0.06757063388825756,-0.0637599149724049,,,,,
2020-09-22,,,,,,0.01577107434143097,0.006667276912770515,0.008834849412826862,0.015142347017309772,0.015313186455542974,,,,,
2020-09-23,,,,,,-0.04339267405569574,-0.036249434049678425,-0.045823357804899184,-0.04287292198558846,-0.038425889020533836,,,,,
2020-09-24,,,,,,0.05168941928065285,0.05107815019218147,0.07367842595331076,0.05141278724850506,0.04866119576306115,,,,,
2020-09-25,,,,,,0.03294130092428595,0.009362460867775514,0.07203430823947694,0.03179963999191374,0.02245370279619877,,,,,
2020-09-26,,,,,,0.011785647065008889,0.0038823010482443468,-0.00013733642722434206,0.011043411889990046,0.013486035859696011,,,,,
2020-09-27,,,,,,0.00820057478926244,0.0023435610438819615,0.014197315676234128,0.00698683395879068,0.004813472489512808,,,,,
2020-09-28,,,,,,-0.006891153636051518,-0.005252156343555618,-0.0076457788613816515,-0.006676961298441258,-0.0073673124941390266,,,,,
2020-09-29,,,,,,0.007641373513825068,0.010114806288768968,0.005952805676241912,0.007671084535492141,0.0077978789751042025,,,,,
2020-09-30,,,,,,-0.0014347919521085386,-0.005609623422855362,-0.0032213656519207564,-0.0015000771768130408,-0.0019954059195396415,,,,,
2020-10-01,,,,,,-0.015215988184475627,-0.015044512933651721,-0.024193502723280726,-0.015135544009954729,-0.01663651609992095,,,,,
2020-10-02,,,,,,-0.021891144641811848,-0.009116481302256021,-0.03279970853750116,-0.020969809884189772,-0.02022790263397966,,,,,
2020-10-03,,,,,,0.004360856473343322,-0.003473363937711375,0.0027187376562638416,0.0041366430547791965,0.004466163597907179,,,,,
2020-10-04,,,,,,0.01790188760050092,0.031076579809993735,0.023398175519429423,0.01844524639718655,0.02071509123835348,,,,,
2020-10-05,,,,,,0.003591528393123089,0.011994013916984032,0.007519126041933208,0.003894418967032221,0.005240122651527108,,,,,
2020-10-06,,,,,,-0.009626353837821833,-0.019143766702887442,-0.04197747131720998,-0.009628428965573636,-0.011474465493073061,,,,,
2020-10-07,,,,,,0.0024881630094607645,0.008721541398937807,0.0062145243355995645,0.002591986237389968,0.0021697009767302033,,,,,
2020-10-08,,,,,,0.015037245037404369,0.018804742899099076,0.02572571013212862,0.014814064525064794,0.013578172114260774,,,,,
2020-10-09,,,,,,0.023432526373623766,0.011533626062148325,0.04981099505832327,0.02244992245511348,0.023264660146907225,,,,,
2020-10-10,,,,,,0.01344768307528349,0.014209062542677025,0.02137688059940517,0.013469807154970783,0.013908815497119096,,,,,
2020-10-11,,,,,,0.01185566818473901,0.006957436238443352,0.012591723190364865,0.011509226072917265,0.009414686712515209,,,,,
2020-10-12,,,,,,0.011390327435422478,0.010414464226434182,0.033242630006718836,0.010998483413450319,0.011829444458233303,,,,,
2020-10-13,,,,,,-0.004764471088864998,-0.007138563061185558,-0.014267355424870155,-0.005175994215219979,-0.007184696058548705,,,,,
2020-10-14,,,,,,-0.005807592202763257,-0.009971275586780737,-0.008641786933386898,-0.006263501481103143,-0.009570830099923187,,,,,
2020-10-15,,,,,,-0.0048135694737722725,-0.0017538704417658737,-0.005716246827261115,-0.004768554668685426,-0.005631844716513283,,,,,
2020-10-16,,,,,,-0.018634310332511863,-0.017829548344389066,-0.02733090208111901,-0.017692570263685547,-0.013533934608574995,,,,,
2020-10-17,,,,,,0.004269494322044054,0.0027424917823224916,0.012450761763562631,0.004428831965612097,0.007166502469024413,,,,,
2020-10-18,,,,,,0.007325791861006193,0.008883570462976467,0.019736018292249424,0.006867303355105733,0.005326247648285118,,,,,
2020-10-19,,,,,,0.01499738070744435,0.019838601320631852,0.007716187873517183,0.01580028662018802,0.018406941894454916,,,,,
2020-10-20,,,,,,-0.022213425468937426,0.005532075562768324,-0.040511000876029074,-0.020730749094356373,-0.021126710562255922,,,,,
2020-10-21,,,,,,0.054879308116212576,0.05979555788349534,0.051233570077050664,0.05494957095518152,0.049445096977325895,,,,,
2020-10-22,,,,,,0.02784915510130621,0.014707529714611946,0.04919941918058415,0.026826086500699137,0.025962251748511262,,,,,
2020-10-23,,,,,,-0.007714060513975308,-0.004491033472511733,-0.015128963585491307,-0.007612082195909146,-0.009608660738931097,,,,,
2020-10-24,,,,,,0.01576710172702136,0.010784308988488697,0.003747235370271592,0.01581291772449601,0.013245006709848656,,,,,
2020-10-25,,,,,,-0.008168543358127035,-0.008399286575547803,-0.01547805481755201,-0.008203391435508288,-0.00903578060572486,,,,,
2020-10-26,,,,,,-0.022532438611657046,-0.0046739993100605795,-0.03045587752737003,-0.021523061361196687,-0.020654691309478192,,,,,
2020-10-27,,,,,,0.015420105915731465,0.03391341900767703,0.013655253916842509,0.01625168951037232,0.015919834785994676,,,,,
2020-10-28,,,,,,-0.023111708865827422,-0.02795726595253515,-0.03775488682893928,-0.023411909236673127,-0.024787020371551532,,,,,
2020-10-29,,,,,,-0.008184334694409667,0.0022904868684467663,-0.018291196492008797,-0.007553859625857646,-0.009168865608665021,,,,,
2020-10-30,,,,,,-0.018665028500040506,0.00015279750270526422,-0.014752511224510148,-0.017797154030068187,-0.01760915572868011,,,,,
2020-10-31,,,,,,0.008407130841797849,0.011634963522657289,0.0042437719198365025,0.008720111165404259,0.007954361475461786,,,,,
2020-11-01,,,,,,0.009479899135041459,-0.0015845101473269468,0.02865838817310008,0.008220556310086575,0.0045119923019720206,,,,,
2020-11-02,,,,,,-0.03653268886625193,-0.015776157325223472,-0.04124086140049503,-0.035485956630865456,-0.03299235265381921,,,,,
2020-11-03,,,,,,-0.0032994927041297695,0.023803429014043982,0.01967044021959668,-0.002311958155520945,0.0018968039621276797,,,,,
2020-11-04,,,,,,0.004323697240461589,0.0036023796298926274,0.016570433401534523,0.0037730716016474114,0.004912100709785467,,,,,
2020-11-05,,,,,,0.04879115808716291,0.07002002476033238,0.05256003334833248,0.05037990533671637,0.053526848453629455,,,,,
2020-11-06,,,,,,0.05615329796816908,0.023742222923540137,0.06987330226729525,0.053595859309351485,0.05052105645569789,,,,,
2020-11-07,,,,,,-0.043483015895242116,-0.04104839332189407,-0.05963050240105318,-0.04327466826761349,-0.04443138109329256,,,,,
2020-11-08,,,,,,0.033233010250257426,0.03128418668355168,0.046810274415111916,0.03258970146788181,0.030851191626561327,,,,,
2020-11-09,,,,,,-0.019588407856058886,-0.010947163807155014,-0.011593493678856577,-0.019324152321166316,-0.019153018573483515,,,,,
2020-11-10,,,,,,0.0004896625641006124,0.0044942918520451194,0.001606211639623621,0.0006923032389706369,0.0021299286233463104,,,,,
2020-11-11,,,,,,0.010143437677480173,0.01857573193380164,0.012419316436743072,0.010440216040923827,0.012181911553115276,,,,,
2020-11-12,,,,,,0.0005386886858012807,0.01693000793995056,0.007361332350242028,0.0013425999481497084,0.0034886539430523398,,,,,
2020-11-13,,,,,,0.028636976284083973,0.02031264204489166,0.011797035202420494,0.028358273983982794,0.029535821216520486,,,,,
2020-11-14,,,,,,-0.015612969029313563,-0.0025297148600647926,-0.018030402399331406,-0.014883894355138812,-0.013734933717397731,,,,,
2020-11-15,,,,,,-0.016525656529147482,-0.001437662314317266,-0.021770712041198164,-0.015238445398351138,-0.01142248989322895,,,,,
2020-11-16,,,,,,0.046549892129067176,0.05293655635280105,0.038675294143591776,0.046760350969135514,0.05196692182780518,,,,,
2020-11-17,,,,,,0.05204232760453974,0.05726321393523882,0.05355983373761255,0.05243703266729476,0.05517389988499786,,,,,
2020-11-18,,,,,,-0.009936278849795133,-0.007952261051168464,-0.011484126665205699,-0.009412807366310776,-0.004475049754028224,,,,,
2020-11-19,,,,,,0.005675267946849406,0.015629571374648293,-0.00422889551369911,0.006052543098280858,0.009020378111976498,,,,,
2020-11-20,,,,,,0.05302752846407591,0.06151769031775628,0.08294944838876823,0.05220102672473791,0.04859232567187758,,,,,
2020-11-21,,,,,,0.14395623030867744,0.18715966145553592,0.07494870544533841,0.1465621706803867,0.14276690110508766,,,,,
2020-11-22,,,,,,-0.02676237164833182,-0.022752766299585787,0.0397588170699484,-0.028513585023117304,-0.03249952507654363,,,,,
2020-11-23,,,,,,0.12948090591086447,0.18013273185244774,0.03788162849977494,0.13302595692677605,0.13393942717639928,,,,,
2020-11-24,,,,,,0.1091031730000655,0.08124033037544355,0.06585330791152487,0.11180053364742237,0.0945774920247268,,,,,
