date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.11544833333333333,-0.05039023809523809,-0.008476666666666664,0.06496666666666667,0.15317547619047617,0.11497300000000002,0.013411111111111111,0.02035,0.11806692307692307,0.3612
2020-01-06,0.016425,-0.19201458333333332,-0.1615680909090909,0.08810000000000001,0.09495,-0.18462499999999998,-0.09309999999999999,0.15784444444444445,0.08120267857142857,0.09366666666666666
2020-01-07,0.08659027777777778,0.02899080882352941,-0.009619469696969703,0.042038,0.19211999999999999,0.06210740740740741,-0.08622750000000001,0.007533333333333333,0.06759000000000001,0.0686625
2020-01-08,0.21758888888888891,0.0744425,-0.018372222222222217,0.18604375,0.117152,0.02000357142857142,0.12246666666666667,0.01745,0.1575242857142857,0.3612
2020-01-09,0.07678750000000001,0.11044880952380953,-0.11893000000000001,0.32661666666666667,0.14536666666666667,-0.038696825396825396,-0.2790625,-0.094325,0.2119375,0.2899333333333333
2020-01-10,0.06536,0.16314373015873015,0.01808500000000001,0.163728,0.18087222222222224,0.015456666666666665,-0.09564444444444446,0.0077,0.251506,0.015000000000000001
2020-01-13,-0.12117916666666667,0.148068,-0.178726,0.24960000000000002,0.03246,0.022949999999999995,-0.17615,0.06061999999999999,0.3202054166666667,0.04814583333333333
2020-01-14,0.015818750000000003,0.01691228571428572,0.055220000000000005,0.16679928571428573,0.09168000000000001,0.06648749999999999,0.40085,0.24076666666666666,0.2785969166666667,-0.025899999999999996
2020-01-15,0.09303333333333333,0.011863333333333328,0.054915000000000005,0.020971428571428568,0.049975000000000006,0.19221166666666667,0.11859999999999998,0.0,0.1943533333333333,0.14475000000000002
2020-01-16,0.05982222222222222,0.10864071428571428,0.10346,0.07246784126984128,0.271625,-0.0377375,0.18906666666666663,0.1062125,0.07802200000000001,0.20784999999999998
2020-01-17,0.14424583333333332,0.09573035714285713,0.2324590476190476,0.15198439316239315,0.1739,0.10043333333333333,0.127925,0.29613333333333336,0.3510972222222222,0.13869791666666667
2020-01-21,0.21708000000000002,0.20691877777777776,0.06627,0.27277266666666666,0.19744444444444442,0.27944583333333334,0.3535,0.14047500000000002,0.21756176656676657,0.19056622222222225
2020-01-22,0.08520416666666666,0.17325840909090912,0.09671017857142858,0.19024555555555556,0.06060023809523808,0.08289200000000001,0.2124625,0.19510000000000002,0.21340466666666663,0.07506666666666666
2020-01-23,0.03596666666666667,0.15882095238095237,0.11051041666666667,-0.08535,0.24073020833333333,0.014172619047619073,0.037966666666666676,0.08711666666666668,0.2547175,0.2514708333333333
2020-01-24,0.18347285714285716,0.11644000000000002,0.040271999999999995,0.06768666666666667,0.12902166666666665,0.03927857142857143,0.09639500000000001,0.37661666666666666,-0.010331851851851858,0.17724166666666666
2020-01-27,0.09302060606060605,0.14162025641025638,0.11442666666666668,-0.008799999999999994,0.12415733333333331,-0.02834666666666667,0.3513,0.2542,0.17007674731182795,0.18810207843137255
2020-01-28,0.009796969696969695,0.1385238888888889,0.005815833333333337,-0.22942222222222222,0.19941477777777777,0.10557000000000001,0.12117416666666667,0.050416666666666665,-0.08992583333333333,0.10237222222222223
2020-01-29,0.02747875000000001,0.07311267857142859,0.058383333333333336,0.05548571428571429,0.002704999999999997,0.08378229166666668,0.15126,0.22011666666666665,-0.018804807692307694,0.11067
2020-01-30,0.20954375,0.0039108095238095195,0.025766666666666667,0.06065625,0.117554,0.07781666666666667,0.1680392857142857,0.21436666666666668,0.2780255952380952,0.16150625
2020-01-31,-0.09168333333333333,-0.04468852380952382,-0.05235714285714285,0.07680833333333333,0.12261969696969698,0.07559166666666667,-0.02338176282051282,0.2151866666666667,-0.051939583333333345,0.17586166666666664
2020-02-03,-0.17593522727272726,0.08432436868686868,0.06547904761904762,0.07900357142857142,0.09816666666666667,0.028136,0.08447125,0.38433333333333336,-0.17044722222222222,0.27482083333333335
2020-02-04,0.1259875,0.09577168831168832,0.07068076923076923,0.179975,0.1400952534562212,0.15696066666666667,0.037383333333333324,0.266,0.10460000000000001,0.17048958333333333
2020-02-05,0.2591475,0.15048242424242425,0.026850000000000002,0.2917375,0.08177500000000001,0.10375208333333333,0.2916875,0.09384583333333334,0.14191744444444446,0.154675
2020-02-06,0.07078125,0.05084884259259259,0.2971189523809524,0.04455,0.05433023809523809,0.038311666666666654,0.08918500000000001,0.2531333333333333,0.21852812500000002,0.08539833333333333
2020-02-07,0.06300595238095238,0.15309166666666665,0.25772,0.21346933333333334,0.0905376923076923,0.06558333333333334,0.15966944444444442,0.2042,0.06678250000000001,0.12876666666666667
2020-02-10,0.10194625000000002,0.1672546875,0.058239,0.04106944444444444,0.10404383838383838,-0.021660000000000006,0.05458888888888888,0.25875000000000004,0.12512285714285715,0.27683125
2020-02-11,0.100925,0.036386190476190475,0.05189666666666666,0.2157611111111111,0.057952083333333335,0.028909375,0.21545333333333333,0.284515,0.1888225,0.178075
2020-02-12,-0.026024117647058816,-0.06679266666666667,0.08318142857142857,0.3731035714285714,0.029349999999999998,-0.10625833333333333,0.13218133333333332,0.2761349206349207,0.17088298701298701,0.14766547619047618
2020-02-13,0.09596944444444444,0.14222460784313726,-0.012630833333333341,0.37901666666666667,0.21743645833333333,0.05922000000000001,0.252375,0.068975,0.114505,0.2577227777777778
2020-02-14,0.08978642857142857,0.04470350000000001,0.06655520833333332,0.19779333333333335,0.11532333333333333,-0.02357,0.10174920634920635,0.17026875,0.09544545454545456,0.13531916666666668
2020-02-18,0.5859,0.04489616666666667,0.12171,0.1990111111111111,0.27625,0.170715,0.10007499999999998,0.38849500000000003,0.11476196236559139,0.253905
2020-02-19,0.10357961904761903,0.10162468253968253,0.01817333333333333,0.10555595238095239,0.11383743872549021,0.048916666666666664,0.08330555555555555,0.14462083333333334,0.05653857142857142,0.2588520833333333
2020-02-20,0.23987083333333334,0.135078,0.10214166666666666,0.14902500000000002,0.03438611111111111,0.3190333333333334,0.09636666666666667,0.26980666666666664,0.1195802380952381,0.16687878787878788
2020-02-21,0.10236527777777778,-0.019001,0.06605000000000001,0.23326597222222223,0.17926666666666666,0.07272083333333333,0.13347070707070707,0.3231158333333333,0.1380714761904762,0.04285364102564103
2020-02-24,0.1355333333333333,-0.040549305555555554,-0.05645166666666666,0.1535355,0.066509375,0.07733,0.23812777777777774,0.3443625,-0.13759285714285713,0.26195
2020-02-25,0.13451666666666665,0.016834285714285715,-0.2273757142857143,0.02093333333333333,0.03161974789915966,0.046058666666666664,0.04946583333333334,0.15475,-0.011390757575757577,0.07246533333333334
2020-02-26,0.05336666666666667,0.18901307692307692,-0.15238333333333334,0.18558133333333332,-0.11141333333333332,-0.14916666666666667,-0.09773888888888889,0.08023928571428572,0.07124666666666667,0.23086458333333332
2020-02-27,0.04017916666666667,0.009083333333333332,0.06522571428571429,0.068736,0.055460294117647045,0.09402777777777778,-0.04275,0.057204333333333336,0.2450825,0.16114166666666666
2020-02-28,-0.013849999999999994,0.02737022222222222,0.02997966666666666,-0.07401333333333333,0.1020268,0.12283541666666667,0.014967857142857144,0.040787500000000004,-0.18570466666666666,0.18094083333333333
2020-03-02,-0.1390235714285714,-0.15373880952380953,0.05502933333333334,-0.07876979166666667,-0.079107,-0.030780208333333337,-0.32227500000000003,0.039346111111111116,0.2445088888888889,-0.1326
2020-03-03,0.13858749999999997,0.050479401709401704,0.046443750000000006,0.09271666666666667,0.12796080357142858,0.16554166666666667,-0.008839999999999995,0.07829666666666667,0.071446,0.17237333333333332
2020-03-04,0.0696325,-0.015782222222222225,-0.052733333333333354,0.009135000000000006,0.027852307692307694,0.06965833333333332,0.12613333333333332,0.19210833333333333,0.014825666666666664,-0.04536874999999999
2020-03-05,0.026870833333333333,0.08794666666666666,0.09727,0.045336,0.151309,0.19870552380952383,0.26661666666666667,0.37978333333333336,0.29419404761904766,0.5051300000000001
2020-03-06,0.11554333333333333,-0.0010114025974026018,-0.10313416666666667,0.027498333333333336,-0.03323365384615385,0.07238583333333334,0.02426666666666667,0.32656666666666667,0.02660300000000001,0.04008333333333333
