Fund,Ann. return,Ann. vol.,Sharpe,Max drawdown
Equity Max Sharpe (base),11.97%,18.47%,0.534,-26.10%
Equity Max Sharpe + Sentiment tilt,12.32%,18.51%,0.552,-26.70%
