publisher,category,n_articles
CNBC,Business,13
CNBC,Earnings,29
CNBC,Finance,30
CNBC,Investing,26
CNBC,Markets,28
CNBC,Top News,30
MarketWatch,Bulletins,10
MarketWatch,Market Pulse,30
MarketWatch,Real-time,10
MarketWatch,Top Stories,10
Reuters,Business,68
Reuters,Economy,68
Reuters,Markets,100
